Joint_Position_1,Joint_Position_2,Joint_Position_3,Joint_Position_4,Joint_Position_5,Joint_Position_6,Joint_Position_7,Joint_Velocity_1,Joint_Velocity_2,Joint_Velocity_3,Joint_Velocity_4,Joint_Velocity_5,Joint_Velocity_6,Joint_Velocity_7,Joint_Acceleration_1,Joint_Acceleration_2,Joint_Acceleration_3,Joint_Acceleration_4,Joint_Acceleration_5,Joint_Acceleration_6,Joint_Acceleration_7,Torque_1
0.189573,-0.29896,-0.043678,1.56886,-0.001218,0.053,0.199768,-1.750552,0.105501,-0.361982,1.060027,-0.001218,-0.034304,1.253484,-49.777484,2.721627,-10.027262,26.031964,-2.722948,-1.068148,17.655793,-94.876411
0.359219,-0.341277,0.080415,1.478759,0.013014,0.099031,0.146066,-1.013864,0.768063,-0.618545,0.488367,-0.002611,-0.322413,0.150506,-46.615577,12.608534,-16.535687,9.506432,-2.122967,-1.567193,6.31299,-94.33271
0.358811,-0.302856,0.053366,1.491451,-0.00015,0.104401,0.149134,-1.234365,0.56871,-0.39566,0.923256,-0.00383,-0.320075,0.592489,-48.387046,12.136065,-14.926467,7.400865,-2.66776,-2.243135,9.164671,-92.973442
0.214957,-0.300248,-0.038211,1.553749,-0.001249,0.053767,0.179822,-0.755297,0.027823,-0.168515,0.456401,0.003018,-0.023593,0.637742,-40.966615,2.871314,-8.827166,25.045619,-0.286599,-0.846361,18.046812,-90.662704
0.375084,-0.278414,0.045229,1.482592,-0.027764,0.105168,0.150669,-0.885132,0.218047,-0.052778,0.867466,0.044977,-0.071139,0.415186,-46.744396,11.976083,-12.941439,8.276493,-2.039362,-1.244784,9.753804,-90.390846
0.204276,-0.29984,-0.040882,1.559184,-0.001218,0.053,0.187493,-1.246231,0.06432,-0.274935,0.768014,0.004042,-0.027564,0.955683,-47.015293,3.295109,-9.578685,27.465588,-1.230331,-0.957726,18.390286,-90.254921
0.346401,-0.271251,0.042182,1.50207,-0.027544,0.102867,0.161409,-1.915659,0.497717,-0.24884,1.011212,-0.005514,-0.134645,0.798289,-47.764254,11.402794,-13.903267,4.026372,-2.862115,-1.056853,8.897063,-89.031586
0.169404,-0.297766,-0.048076,1.580578,-0.001312,0.053,0.213578,-2.243947,0.137626,-0.452812,1.270114,-0.033544,-0.047082,1.4959,-49.563833,1.040078,-10.164237,23.06673,-4.424277,-1.149337,15.963057,-88.89566
0.372257,-0.327957,0.075389,1.471691,-0.000747,0.099031,0.155272,-0.875941,0.755748,-0.632731,-0.018492,0.014332,-0.269685,-0.035823,-45.724177,11.96734,-15.77512,10.840173,-2.114477,-0.473056,3.668767,-88.759735
0.37744,-0.334994,0.080886,1.472476,-0.001029,0.1021,0.155272,-0.43915,0.618823,-0.488576,-0.135663,0.045116,-0.26305,-0.066957,-42.718887,14.416487,-13.933339,10.558696,-2.592832,-0.119453,3.634339,-87.264549
0.362989,-0.275712,0.044193,1.491954,-0.027544,0.105168,0.155272,-1.423746,0.356566,-0.155542,0.968017,0.010439,-0.115927,0.605526,-48.449556,12.542284,-12.635695,6.418587,-2.299468,-1.184537,9.645987,-87.128624
0.368487,-0.307976,0.056445,1.482592,-0.000118,0.10747,0.144531,-0.69129,0.434109,-0.279407,0.802629,0.005339,-0.279017,0.413443,-45.500681,13.296101,-12.642903,9.004131,-1.674216,-2.39008,9.305925,-86.992699
0.327709,-0.532192,0.220436,1.349734,0.050147,0.092126,0.104638,-0.824897,0.279443,0.405741,0.095572,0.124005,0.312548,-0.048917,-38.955805,17.974861,-15.971294,17.849472,-3.491218,-2.350543,6.689319,-86.041214
0.380362,-0.279954,0.045355,1.474707,-0.028393,0.105935,0.1476,-0.422505,0.106052,0.088779,0.762469,0.077263,-0.026299,0.250111,-42.320492,10.554693,-13.727604,8.824323,-1.488611,-1.199737,9.307712,-85.361588
0.365754,-0.348409,0.085662,1.474361,0.013014,0.102867,0.146066,-0.525658,0.625912,-0.467574,0.369652,0.000158,-0.309261,0.064131,-43.337316,14.968909,-14.046235,10.921366,-1.674075,-1.36583,5.916864,-85.225662
0.373074,-0.311464,0.059115,1.475712,-0.000244,0.109771,0.141463,-0.278003,0.288855,-0.192041,0.702618,0.025032,-0.213459,0.260828,-40.772497,13.132031,-11.932226,9.035456,-1.335504,-2.447492,8.911527,-85.089729
0.380551,-0.340366,0.085128,1.47433,-0.001689,0.104401,0.156039,-0.072853,0.455201,-0.370998,-0.220742,0.079001,-0.249634,-0.107058,-40.902578,15.596201,-12.813498,9.865934,-2.771364,0.185013,3.570453,-84.681953
0.316022,-0.523992,0.218959,1.363055,0.041633,0.098264,0.105405,-1.048793,0.219452,0.591983,0.513523,0.085826,0.385966,0.0536,-39.236662,17.997163,-16.658267,16.216278,-2.585683,-2.68349,7.289913,-84.410103
