index,SEP_onset_time,ln_peak_intensity,peak_intensity,target,CME_DONKI_time,CME_DONKI_latitude,CME_DONKI_longitude,CME_DONKI_speed,CME_CDAW_time,CME_CDAW_MPA,CME_CDAW_LinearSpeed,VlogV,DONKI_half_width,Accelaration,2nd_order_speed_final,2nd_order_speed_20R,CPA,Halo,daily_sunspots,Type2_Viz_Area,solar_wind_speed,CMEs_in_past_month,CMEs_in_past_9hours,CMEs_with_speed_over_1000_in_past_9hours,max_CME_speed_in_past_day,diffusive_shock,connection_angle_degrees,half_richardson_value
0,,-1.609437912,0.2,0,4/3/2010 9:54,7,8,620,4/3/2010 10:33,171,668,4344.8645,26,-1,658,661,360,1,24,0,487.3,1,1,0,620,3.49E-30,-39.55637785,-0.423122506
1,,-1.609437912,0.2,0,6/13/2010 7:32,17,117,500,6/13/2010 6:30,295,349,2043.420101,30,6,481,435,294,0,25,0,427.5,1,1,0,500,6.97E-32,64.63601436,-1.12974969
2,,-1.609437912,0.2,0,6/20/2010 3:18,-13,-80,570,6/20/2010 2:06,96,595,3801.194036,20,-6.4,509,548,108,0,18,0,387.2,2,1,0,570,7.57E-31,-137.5188143,-5.113960053
3,,-1.609437912,0.2,0,7/3/2010 1:30,-4,35,625,7/3/2010 1:30,236,285,1610.959416,23,8.7,544,447,239,0,13,0,602.6,3,1,0,625,4.03E-30,-5.018652981,-0.006810946
4,,-1.609437912,0.2,0,8/1/2010 2:42,7,-22,760,8/1/2010 0:30,94,127,615.21176,48,-15,100,0,90,0,24,0,509.8,2,1,0,760,8.77E-16,-67.13830515,-1.218916176
5,,-1.609437912,0.2,0,8/1/2010 23:54,40,-145,686,8/1/2010 23:18,33,527,3302.814689,35,711.6,1039,3728,56,0,24,0,485.3,3,1,0,760,5.98E-23,138.4752502,-5.185342055
6,,-1.609437912,0.2,0,8/6/2010 0:00,13,41,300,8/5/2010 23:26,302,377,2236.456436,20,-3.4,325,316,300,0,51,0,515.3,3,1,0,300,5.98E-36,-13.44919258,-0.048913137
7,,-1.609437912,0.2,0,8/7/2010 17:00,-3,-46,750,8/7/2010 18:36,94,871,5896.358162,27,-11.9,755,827,360,1,48,997500,397.3,4,1,0,750,2.47E-16,-103.6676606,-2.906161128
8,8/14/2010 10:25,2.681569324,14.608,1,8/14/2010 10:12,-7,46,950,8/14/2010 10:12,224,1205,8548.552989,35,-43,993,989,360,1,33,0,412,5,1,0,950,2.02E-11,-11.88470418,-0.038195293
9,,-1.609437912,0.2,0,8/15/2010 8:12,28,35,620,8/15/2010 8:24,306,349,2043.420101,30,9.3,446,532,302,0,38,0,375.7,6,1,0,950,3.49E-30,-37.48003594,-0.379868333
10,8/18/2010 7:34,1.254903533,3.5075,0,8/18/2010 6:00,-6,92,1250,8/18/2010 5:48,230,1471,10729.02935,40,-20.2,1363,1416,255,0,23,1230000,366.5,7,1,1,1250,6.01E-10,30.01619735,-0.24363767
11,,-1.609437912,0.2,0,8/27/2010 10:24,-40,67,780,8/27/2010 10:12,246,479,2956.244586,30,21.7,618,807,242,0,12,0,654.8,8,1,0,780,7.21E-15,49.48456263,-0.662174673
12,,-1.609437912,0.2,0,8/31/2010 21:20,-35,145,1200,8/31/2010 21:17,206,1304,9353.842032,28,-12.5,1240,1267,360,1,30,0,334.7,8,1,1,1200,4.49E-10,78.99496231,-1.687453778
13,,-1.609437912,0.2,0,9/4/2010 15:25,3,20,400,9/4/2010 15:12,282,954,6545.073143,50,-101.7,711,0,296,0,58,0,350,8,1,0,400,1.19E-33,-45.55989743,-0.561304558
14,,-1.609437912,0.2,0,9/8/2010 23:26,8,96,850,9/8/2010 23:26,272,818,5486.213391,45,-19.4,641,709,281,0,0,0,353.7,7,1,0,850,7.54E-13,32.11102783,-0.278831289
15,,-1.609437912,0.2,0,9/10/2010 23:30,20,-20,410,9/11/2010 2:00,47,469,2884.632698,35,10.8,638,589,65,0,16,0,389.8,8,1,0,410,1.86E-33,-79.4803065,-1.708252872
16,,-1.609437912,0.2,0,9/22/2010 5:00,22,-67,650,9/22/2010 4:24,62,521,3259.245772,30,-8.3,448,388,88,0,36,0,335,6,1,0,650,8.22E-30,-131.3263589,-4.663767586
17,,-1.609437912,0.2,0,9/30/2010 23:38,42,144,460,9/30/2010 23:05,337,399,2389.595605,25,14.8,641,626,358,0,48,0,378.3,5,1,0,460,1.53E-32,85.11190705,-1.958906631
18,,-1.609437912,0.2,0,10/6/2010 7:24,20,-10,360,10/6/2010 7:12,50,282,1591.017794,30,7,411,441,6,0,0,0,335.8,5,1,0,360,1.72E-34,-78.96949781,-1.686366032
19,,-1.609437912,0.2,0,10/7/2010 9:36,41,76,515,10/7/2010 7:24,319,417,2515.796954,32,17.7,813,659,294,0,0,0,317.7,6,1,0,515,1.19E-31,41.14927524,-0.457886115
20,,-1.609437912,0.2,0,10/11/2010 0:00,-1,-13,350,10/10/2010 22:12,99,262,1458.90626,35,12.1,476,543,92,0,13,0,330.7,5,1,0,350,1.02E-34,-82.30555947,-1.831856441
21,,-1.609437912,0.2,0,10/14/2010 17:48,19,27,310,10/14/2010 17:48,51,457,2798.98031,28,58,622,1224,51,0,37,0,292.5,6,1,0,310,1.10E-35,-53.81001581,-0.78299562
22,,-1.609437912,0.2,0,10/17/2010 8:36,32,-144,340,10/17/2010 9:36,279,304,1737.976421,30,-0.9,297,274,269,0,57,0,372.8,7,1,0,340,6.01E-35,139.958311,-5.297006174
23,,-1.609437912,0.2,0,10/22/2010 1:25,45,10,400,10/21/2010 22:36,321,429,2600.365018,27,25.7,697,799,283,0,36,0,377.3,8,1,0,400,1.19E-33,-63.42036127,-1.087653387
24,,-1.609437912,0.2,0,10/26/2010 6:36,-13,49,500,10/26/2010 7:36,45,527,3302.814689,43,1.2,540,542,50,0,63,0,619.3,8,1,0,500,6.97E-32,17.61613671,-0.083917867
25,,-1.609437912,0.2,0,10/30/2010 20:00,-11,140,430,10/30/2010 20:24,335,406,2438.579383,30,2.5,415,465,331,0,33,0,375.7,9,1,0,430,4.45E-33,79.20126456,-1.696279153
26,,-1.609437912,0.2,0,11/3/2010 15:00,-10,-88,260,11/3/2010 12:36,97,241,1321.836061,30,-6.9,187,0,98,0,18,0,321.8,9,1,0,260,4.20E-37,-157.0363356,-6.668580502
27,,-1.609437912,0.2,0,11/8/2010 21:08,25,-72,600,11/8/2010 20:24,44,470,2891.784367,20,4.4,548,513,35,0,37,0,341.5,8,1,0,600,1.92E-30,-133.2487056,-4.801302741
28,,-1.609437912,0.2,0,11/11/2010 17:00,-22,-7,877,11/11/2010 17:00,140,419,2529.867915,25,-6.8,355,271,50,0,51,0,431.2,8,1,0,877,2.36E-12,-62.51824742,-1.056931114
