CME_DONKI_speed_norm,CME_DONKI_latitude_norm,CME_DONKI_longitude_norm,CME_CDAW_MPA_norm,CME_CDAW_LinearSpeed_norm,DONKI_half_width_norm,Halo,ln_peak_intensity
0.525547445,0.443820225,0.208333333,0.255555556,0.272234619,0.471264368,0,0
0.306569343,0.471910112,0.2,0.322222222,0.250557858,0.482758621,0,0
0.270072993,0.747191011,0.483333333,0.133333333,0.13611731,0.149425287,0,0
0.149635036,0.646067416,0.747222222,0.85,0.121134842,0.287356322,0,0
0.098540146,0.539325843,0.75,0.780555556,0.101370736,0.264367816,0,0
0.139781022,0.719101124,0.741666667,0.883333333,0.135798534,0.287356322,0,0
0.061678832,0.713483146,0.722222222,0.85,0.091488683,0.264367816,0,0
0.094525547,0.679775281,0.736111111,0.825,0.1150781,0.367816092,0,0
0.171167883,0.511235955,0.758333333,0.763888889,0.236850494,0.344827586,0,0
0.094890511,0.308988764,0.069444444,0.422222222,0.104877271,0.505747126,0,0
0.034671533,0.893258427,0.669444444,0.947222222,0.066942939,0.24137931,0,0
0.144160584,0.443820225,0.011111111,0.475,0.080969079,0.471264368,1,0
0.259854015,0.342696629,0.872222222,0.608333333,0.128466688,0.16091954,0,0
0.288321168,0.466292135,0.883333333,0.705555556,0.149505897,0.126436782,0,0
0.087591241,0.52247191,0.483333333,0.733333333,0.067899267,0.114942529,0,0
0.281021898,0.314606742,0.141666667,0.391666667,0.279247689,0.436781609,0,0
0.109489051,0.443820225,0.797222222,0.647222222,0.109977686,0.149425287,0,0
0.03649635,0.612359551,0.744444444,0.861111111,0.093401339,0.333333333,0,0
0.062043796,0.43258427,0.613888889,0.680555556,0.087982149,0.114942529,0,0
0.105839416,0.601123596,0.627777778,0.844444444,0.085113165,0.172413793,0,0
0.032846715,0.640449438,0.305555556,0.15,0.050366592,0.287356322,0,0
0.131386861,0.702247191,0.652777778,0.886111111,0.102008288,0.356321839,0,0
0.416058394,0.460674157,0.361111111,0.297222222,0.308893848,0.333333333,1,0
0.525547445,0.528089888,0.375,0.197222222,0.323238763,0.367816092,1,0
0.130291971,0.651685393,0.272222222,0.186111111,0.108383806,0.195402299,0,0
0.178832117,0.584269663,0.236111111,0.177777778,0.207523111,0.367816092,0,0
0.069343066,0.764044944,0.483333333,0.061111111,0.26203379,0.402298851,1,0
0.375912409,0.353932584,0.419444444,0.363888889,0.254701945,0.356321839,0,0
0.129562044,0.376404494,0.605555556,0.675,0.085750717,0.172413793,0,0
0.127372263,0.47752809,0.4,0.255555556,0.132610775,0.275862069,0,0
0.181751825,0.556179775,0.405555556,0.175,0.151418553,0.229885057,0,0
0.312773723,0.443820225,0.458333333,0.208333333,0.127829136,0.195402299,0,0
