Event ID,Timestamp,Target Timestamp,Proton Intensity,e0.5_tminus24,e0.5_tminus23,e0.5_tminus22,e0.5_tminus21,e0.5_tminus20,e0.5_tminus19,e0.5_tminus18,e0.5_tminus17,e0.5_tminus16,e0.5_tminus15,e0.5_tminus14,e0.5_tminus13,e0.5_tminus12,e0.5_tminus11,e0.5_tminus10,e0.5_tminus9,e0.5_tminus8,e0.5_tminus7,e0.5_tminus6,e0.5_tminus5,e0.5_tminus4,e0.5_tminus3,e0.5_tminus2,e0.5_tminus1,e0.5_t,e0.5_max_intensity,e1.8_tminus24,e1.8_tminus23,e1.8_tminus22,e1.8_tminus21,e1.8_tminus20,e1.8_tminus19,e1.8_tminus18,e1.8_tminus17,e1.8_tminus16,e1.8_tminus15,e1.8_tminus14,e1.8_tminus13,e1.8_tminus12,e1.8_tminus11,e1.8_tminus10,e1.8_tminus9,e1.8_tminus8,e1.8_tminus7,e1.8_tminus6,e1.8_tminus5,e1.8_tminus4,e1.8_tminus3,e1.8_tminus2,e1.8_tminus1,e1.8_t,e1.8_max_intensity,e4.4_tminus24,e4.4_tminus23,e4.4_tminus22,e4.4_tminus21,e4.4_tminus20,e4.4_tminus19,e4.4_tminus18,e4.4_tminus17,e4.4_tminus16,e4.4_tminus15,e4.4_tminus14,e4.4_tminus13,e4.4_tminus12,e4.4_tminus11,e4.4_tminus10,e4.4_tminus9,e4.4_tminus8,e4.4_tminus7,e4.4_tminus6,e4.4_tminus5,e4.4_tminus4,e4.4_tminus3,e4.4_tminus2,e4.4_tminus1,e4.4_t,e4.4_max_intensity,p6.1_tminus24,p6.1_tminus23,p6.1_tminus22,p6.1_tminus21,p6.1_tminus20,p6.1_tminus19,p6.1_tminus18,p6.1_tminus17,p6.1_tminus16,p6.1_tminus15,p6.1_tminus14,p6.1_tminus13,p6.1_tminus12,p6.1_tminus11,p6.1_tminus10,p6.1_tminus9,p6.1_tminus8,p6.1_tminus7,p6.1_tminus6,p6.1_tminus5,p6.1_tminus4,p6.1_tminus3,p6.1_tminus2,p6.1_tminus1,p6.1_t,p6.1_max_intensity,p33.0_tminus24,p33.0_tminus23,p33.0_tminus22,p33.0_tminus21,p33.0_tminus20,p33.0_tminus19,p33.0_tminus18,p33.0_tminus17,p33.0_tminus16,p33.0_tminus15,p33.0_tminus14,p33.0_tminus13,p33.0_tminus12,p33.0_tminus11,p33.0_tminus10,p33.0_tminus9,p33.0_tminus8,p33.0_tminus7,p33.0_tminus6,p33.0_tminus5,p33.0_tminus4,p33.0_tminus3,p33.0_tminus2,p33.0_tminus1,p33.0_t,p33.0_max_intensity,p_tminus24,p_tminus23,p_tminus22,p_tminus21,p_tminus20,p_tminus19,p_tminus18,p_tminus17,p_tminus16,p_tminus15,p_tminus14,p_tminus13,p_tminus12,p_tminus11,p_tminus10,p_tminus9,p_tminus8,p_tminus7,p_tminus6,p_tminus5,p_tminus4,p_tminus3,p_tminus2,p_tminus1,p_t,p_max_intensity,Sunspot Number,cme_donki_time,CME_DONKI_latitude,CME_DONKI_longitude,CME_DONKI_speed,CME_CDAW_MPA,CME_CDAW_LinearSpeed,VlogV,DONKI_half_width,Accelaration,2nd_order_speed_final,2nd_order_speed_20R,CPA,Halo,Type2_Viz_Area,solar_wind_speed,diffusive_shock,half_richardson_value,CMEs Past Month,CMEs Past 9 Hours,CMEs Speed > 1000,Max CME Speed,delta_log_Intensity
32,2/20/2014 7:14,2/20/2014 7:44,0.0501478,54.3536,48.7196,46.7626,47.5926,41.84,39.8534,39.5866,38.2816,41.1876,39.7644,41.1876,39.5568,37.303,34.4564,34.1304,32.3514,33.9526,32.8554,34.2488,32.9738,36.2654,35.0496,32.796,33.3594,33.6262,54.3536,0.147484,0.1181512,0.1083732,0.1108156,0.0798538,0.085558,0.0839276,0.0847432,0.1034832,0.0920746,0.0928898,0.0725194,0.0953368,0.0798538,0.080668,0.0611128,0.092076,0.059483,0.0977806,0.064372,0.0741494,0.0578532,0.080669,0.068446,0.0708908,0.147484,0.01202174,0.01127024,0.01277292,0.00751348,0.011771,0.0080144,0.01051864,0.00951694,0.00751342,0.00926654,0.0055098,0.00576026,0.00726288,0.0065116,0.00450804,0.00701252,0.0097675,0.00626124,0.00651164,0.00801424,0.00626118,0.00550984,0.00751338,0.00851526,0.00676206,0.01277292,6.706,5.36106,5.03246,5.0566,3.60056,3.69754,3.38156,3.35578,3.42738,3.41124,3.44686,3.34466,3.20836,2.47034,2.07668,2.03642,1.9845,2.02474,2.10892,1.99674,2.09188,2.15028,2.18386,2.0483,2.25912,6.706,0.00194402,0.00180516,0.00174962,0.00099979,0.001610746,0.000833152,0.000860918,0.000833156,0.000749832,0.000777602,0.000722064,0.000777608,0.000888696,0.000944256,0.000194404,0.000527662,0.000805378,0.000249948,0.00063875,0.000583206,0.000388804,0.000722058,0.000555432,0.000833146,0.000610986,0.00194402,0.157952,0.134256,0.11841,0.12433,0.0761462,0.0787498,0.0670526,0.0699578,0.0725994,0.0684864,0.0690144,0.0664866,0.0637696,0.0484876,0.0406388,0.037658,0.0369788,0.040186,0.0405634,0.0376202,0.0425254,0.043016,0.0438842,0.0407898,0.0449782,0.157952,133,2/20/2014 3:12,-48,-39,643,89,993,6852.425549,45,-48.8,762,639,360,1,0,642.5,6.75E-30,-1.72252156,75,1,0,800,0.004934892
32,2/20/2014 7:19,2/20/2014 7:49,0.041582,48.7196,46.7626,47.5926,41.84,39.8534,39.5866,38.2816,41.1876,39.7644,41.1876,39.5568,37.303,34.4564,34.1304,32.3514,33.9526,32.8554,34.2488,32.9738,36.2654,35.0496,32.796,33.3594,33.6262,35.761,48.7196,0.1181512,0.1083732,0.1108156,0.0798538,0.085558,0.0839276,0.0847432,0.1034832,0.0920746,0.0928898,0.0725194,0.0953368,0.0798538,0.080668,0.0611128,0.092076,0.059483,0.0977806,0.064372,0.0741494,0.0578532,0.080669,0.068446,0.0708908,0.0920772,0.1181512,0.01127024,0.01277292,0.00751348,0.011771,0.0080144,0.01051864,0.00951694,0.00751342,0.00926654,0.0055098,0.00576026,0.00726288,0.0065116,0.00450804,0.00701252,0.0097675,0.00626124,0.00651164,0.00801424,0.00626118,0.00550984,0.00751338,0.00851526,0.00676206,0.00676198,0.01277292,5.36106,5.03246,5.0566,3.60056,3.69754,3.38156,3.35578,3.42738,3.41124,3.44686,3.34466,3.20836,2.47034,2.07668,2.03642,1.9845,2.02474,2.10892,1.99674,2.09188,2.15028,2.18386,2.0483,2.25912,2.32998,5.36106,0.00180516,0.00174962,0.00099979,0.001610746,0.000833152,0.000860918,0.000833156,0.000749832,0.000777602,0.000722064,0.000777608,0.000888696,0.000944256,0.000194404,0.000527662,0.000805378,0.000249948,0.00063875,0.000583206,0.000388804,0.000722058,0.000555432,0.000833146,0.000610986,0.000583204,0.00180516,0.134256,0.11841,0.12433,0.0761462,0.0787498,0.0670526,0.0699578,0.0725994,0.0684864,0.0690144,0.0664866,0.0637696,0.0484876,0.0406388,0.037658,0.0369788,0.040186,0.0405634,0.0376202,0.0425254,0.043016,0.0438842,0.0407898,0.0449782,0.0484122,0.134256,133,2/20/2014 3:12,-48,-39,643,89,993,6852.425549,45,-48.8,762,639,360,1,0,642.5,6.75E-30,-1.72252156,75,1,0,800,-0.006536118
32,2/20/2014 7:24,2/20/2014 7:54,0.0459594,46.7626,47.5926,41.84,39.8534,39.5866,38.2816,41.1876,39.7644,41.1876,39.5568,37.303,34.4564,34.1304,32.3514,33.9526,32.8554,34.2488,32.9738,36.2654,35.0496,32.796,33.3594,33.6262,35.761,38.3114,47.5926,0.1083732,0.1108156,0.0798538,0.085558,0.0839276,0.0847432,0.1034832,0.0920746,0.0928898,0.0725194,0.0953368,0.0798538,0.080668,0.0611128,0.092076,0.059483,0.0977806,0.064372,0.0741494,0.0578532,0.080669,0.068446,0.0708908,0.0920772,0.0937058,0.1108156,0.01277292,0.00751348,0.011771,0.0080144,0.01051864,0.00951694,0.00751342,0.00926654,0.0055098,0.00576026,0.00726288,0.0065116,0.00450804,0.00701252,0.0097675,0.00626124,0.00651164,0.00801424,0.00626118,0.00550984,0.00751338,0.00851526,0.00676206,0.00676198,0.00576022,0.01277292,5.03246,5.0566,3.60056,3.69754,3.38156,3.35578,3.42738,3.41124,3.44686,3.34466,3.20836,2.47034,2.07668,2.03642,1.9845,2.02474,2.10892,1.99674,2.09188,2.15028,2.18386,2.0483,2.25912,2.32998,2.62222,5.0566,0.00174962,0.00099979,0.001610746,0.000833152,0.000860918,0.000833156,0.000749832,0.000777602,0.000722064,0.000777608,0.000888696,0.000944256,0.000194404,0.000527662,0.000805378,0.000249948,0.00063875,0.000583206,0.000388804,0.000722058,0.000555432,0.000833146,0.000610986,0.000583204,0.000555436,0.00174962,0.11841,0.12433,0.0761462,0.0787498,0.0670526,0.0699578,0.0725994,0.0684864,0.0690144,0.0664866,0.0637696,0.0484876,0.0406388,0.037658,0.0369788,0.040186,0.0405634,0.0376202,0.0425254,0.043016,0.0438842,0.0407898,0.0449782,0.0484122,0.0516196,0.12433,133,2/20/2014 3:12,-48,-39,643,89,993,6852.425549,45,-48.8,762,639,360,1,0,642.5,6.75E-30,-1.72252156,75,1,0,800,-0.005396902
32,2/20/2014 7:29,2/20/2014 7:59,0.0453558,47.5926,41.84,39.8534,39.5866,38.2816,41.1876,39.7644,41.1876,39.5568,37.303,34.4564,34.1304,32.3514,33.9526,32.8554,34.2488,32.9738,36.2654,35.0496,32.796,33.3594,33.6262,35.761,38.3114,36.1764,47.5926,0.1108156,0.0798538,0.085558,0.0839276,0.0847432,0.1034832,0.0920746,0.0928898,0.0725194,0.0953368,0.0798538,0.080668,0.0611128,0.092076,0.059483,0.0977806,0.064372,0.0741494,0.0578532,0.080669,0.068446,0.0708908,0.0920772,0.0937058,0.0700758,0.1108156,0.00751348,0.011771,0.0080144,0.01051864,0.00951694,0.00751342,0.00926654,0.0055098,0.00576026,0.00726288,0.0065116,0.00450804,0.00701252,0.0097675,0.00626124,0.00651164,0.00801424,0.00626118,0.00550984,0.00751338,0.00851526,0.00676206,0.00676198,0.00576022,0.00375672,0.011771,5.0566,3.60056,3.69754,3.38156,3.35578,3.42738,3.41124,3.44686,3.34466,3.20836,2.47034,2.07668,2.03642,1.9845,2.02474,2.10892,1.99674,2.09188,2.15028,2.18386,2.0483,2.25912,2.32998,2.62222,2.45606,5.0566,0.00099979,0.001610746,0.000833152,0.000860918,0.000833156,0.000749832,0.000777602,0.000722064,0.000777608,0.000888696,0.000944256,0.000194404,0.000527662,0.000805378,0.000249948,0.00063875,0.000583206,0.000388804,0.000722058,0.000555432,0.000833146,0.000610986,0.000583204,0.000555436,0.00013886,0.001610746,0.12433,0.0761462,0.0787498,0.0670526,0.0699578,0.0725994,0.0684864,0.0690144,0.0664866,0.0637696,0.0484876,0.0406388,0.037658,0.0369788,0.040186,0.0405634,0.0376202,0.0425254,0.043016,0.0438842,0.0407898,0.0449782,0.0484122,0.0516196,0.0481102,0.12433,133,2/20/2014 3:12,-48,-39,643,89,993,6852.425549,45,-48.8,762,639,360,1,0,642.5,6.75E-30,-1.72252156,75,1,0,800,-0.002631427
32,2/20/2014 7:34,2/20/2014 8:04,0.0498082,41.84,39.8534,39.5866,38.2816,41.1876,39.7644,41.1876,39.5568,37.303,34.4564,34.1304,32.3514,33.9526,32.8554,34.2488,32.9738,36.2654,35.0496,32.796,33.3594,33.6262,35.761,38.3114,36.1764,39.0232,41.84,0.0798538,0.085558,0.0839276,0.0847432,0.1034832,0.0920746,0.0928898,0.0725194,0.0953368,0.0798538,0.080668,0.0611128,0.092076,0.059483,0.0977806,0.064372,0.0741494,0.0578532,0.080669,0.068446,0.0708908,0.0920772,0.0937058,0.0700758,0.0733352,0.1034832,0.011771,0.0080144,0.01051864,0.00951694,0.00751342,0.00926654,0.0055098,0.00576026,0.00726288,0.0065116,0.00450804,0.00701252,0.0097675,0.00626124,0.00651164,0.00801424,0.00626118,0.00550984,0.00751338,0.00851526,0.00676206,0.00676198,0.00576022,0.00375672,0.002254,0.011771,3.60056,3.69754,3.38156,3.35578,3.42738,3.41124,3.44686,3.34466,3.20836,2.47034,2.07668,2.03642,1.9845,2.02474,2.10892,1.99674,2.09188,2.15028,2.18386,2.0483,2.25912,2.32998,2.62222,2.45606,2.56658,3.69754,0.001610746,0.000833152,0.000860918,0.000833156,0.000749832,0.000777602,0.000722064,0.000777608,0.000888696,0.000944256,0.000194404,0.000527662,0.000805378,0.000249948,0.00063875,0.000583206,0.000388804,0.000722058,0.000555432,0.000833146,0.000610986,0.000583204,0.000555436,0.00013886,0.000166632,0.001610746,0.0761462,0.0787498,0.0670526,0.0699578,0.0725994,0.0684864,0.0690144,0.0664866,0.0637696,0.0484876,0.0406388,0.037658,0.0369788,0.040186,0.0405634,0.0376202,0.0425254,0.043016,0.0438842,0.0407898,0.0449782,0.0484122,0.0516196,0.0481102,0.0513934,0.0787498,133,2/20/2014 3:12,-48,-39,643,89,993,6852.425549,45,-48.8,762,639,360,1,0,642.5,6.75E-30,-1.72252156,75,1,0,800,-0.001508851
32,2/20/2014 7:39,2/20/2014 8:09,0.0444878,39.8534,39.5866,38.2816,41.1876,39.7644,41.1876,39.5568,37.303,34.4564,34.1304,32.3514,33.9526,32.8554,34.2488,32.9738,36.2654,35.0496,32.796,33.3594,33.6262,35.761,38.3114,36.1764,39.0232,37.9556,41.1876,0.085558,0.0839276,0.0847432,0.1034832,0.0920746,0.0928898,0.0725194,0.0953368,0.0798538,0.080668,0.0611128,0.092076,0.059483,0.0977806,0.064372,0.0741494,0.0578532,0.080669,0.068446,0.0708908,0.0920772,0.0937058,0.0700758,0.0733352,0.0765954,0.1034832,0.0080144,0.01051864,0.00951694,0.00751342,0.00926654,0.0055098,0.00576026,0.00726288,0.0065116,0.00450804,0.00701252,0.0097675,0.00626124,0.00651164,0.00801424,0.00626118,0.00550984,0.00751338,0.00851526,0.00676206,0.00676198,0.00576022,0.00375672,0.002254,0.00350624,0.01051864,3.69754,3.38156,3.35578,3.42738,3.41124,3.44686,3.34466,3.20836,2.47034,2.07668,2.03642,1.9845,2.02474,2.10892,1.99674,2.09188,2.15028,2.18386,2.0483,2.25912,2.32998,2.62222,2.45606,2.56658,2.56678,3.69754,0.000833152,0.000860918,0.000833156,0.000749832,0.000777602,0.000722064,0.000777608,0.000888696,0.000944256,0.000194404,0.000527662,0.000805378,0.000249948,0.00063875,0.000583206,0.000388804,0.000722058,0.000555432,0.000833146,0.000610986,0.000583204,0.000555436,0.00013886,0.000166632,0.000222176,0.000944256,0.0787498,0.0670526,0.0699578,0.0725994,0.0684864,0.0690144,0.0664866,0.0637696,0.0484876,0.0406388,0.037658,0.0369788,0.040186,0.0405634,0.0376202,0.0425254,0.043016,0.0438842,0.0407898,0.0449782,0.0484122,0.0516196,0.0481102,0.0513934,0.0526762,0.0787498,133,2/20/2014 3:12,-48,-39,643,89,993,6852.425549,45,-48.8,762,639,360,1,0,642.5,6.75E-30,-1.72252156,75,1,0,800,-0.007809062
32,2/20/2014 7:44,2/20/2014 8:14,0.0382618,39.5866,38.2816,41.1876,39.7644,41.1876,39.5568,37.303,34.4564,34.1304,32.3514,33.9526,32.8554,34.2488,32.9738,36.2654,35.0496,32.796,33.3594,33.6262,35.761,38.3114,36.1764,39.0232,37.9556,37.7478,41.1876,0.0839276,0.0847432,0.1034832,0.0920746,0.0928898,0.0725194,0.0953368,0.0798538,0.080668,0.0611128,0.092076,0.059483,0.0977806,0.064372,0.0741494,0.0578532,0.080669,0.068446,0.0708908,0.0920772,0.0937058,0.0700758,0.0733352,0.0765954,0.0839282,0.1034832,0.01051864,0.00951694,0.00751342,0.00926654,0.0055098,0.00576026,0.00726288,0.0065116,0.00450804,0.00701252,0.0097675,0.00626124,0.00651164,0.00801424,0.00626118,0.00550984,0.00751338,0.00851526,0.00676206,0.00676198,0.00576022,0.00375672,0.002254,0.00350624,0.00450804,0.01051864,3.38156,3.35578,3.42738,3.41124,3.44686,3.34466,3.20836,2.47034,2.07668,2.03642,1.9845,2.02474,2.10892,1.99674,2.09188,2.15028,2.18386,2.0483,2.25912,2.32998,2.62222,2.45606,2.56658,2.56678,2.62572,3.44686,0.000860918,0.000833156,0.000749832,0.000777602,0.000722064,0.000777608,0.000888696,0.000944256,0.000194404,0.000527662,0.000805378,0.000249948,0.00063875,0.000583206,0.000388804,0.000722058,0.000555432,0.000833146,0.000610986,0.000583204,0.000555436,0.00013886,0.000166632,0.000222176,0.000111088,0.000944256,0.0670526,0.0699578,0.0725994,0.0684864,0.0690144,0.0664866,0.0637696,0.0484876,0.0406388,0.037658,0.0369788,0.040186,0.0405634,0.0376202,0.0425254,0.043016,0.0438842,0.0407898,0.0449782,0.0484122,0.0516196,0.0481102,0.0513934,0.0526762,0.0501478,0.0725994,133,2/20/2014 3:12,-48,-39,643,89,993,6852.425549,45,-48.8,762,639,360,1,0,642.5,6.75E-30,-1.72252156,75,1,0,800,-0.011382947
32,2/20/2014 7:49,2/20/2014 8:19,0.0471292,38.2816,41.1876,39.7644,41.1876,39.5568,37.303,34.4564,34.1304,32.3514,33.9526,32.8554,34.2488,32.9738,36.2654,35.0496,32.796,33.3594,33.6262,35.761,38.3114,36.1764,39.0232,37.9556,37.7478,34.9902,41.1876,0.0847432,0.1034832,0.0920746,0.0928898,0.0725194,0.0953368,0.0798538,0.080668,0.0611128,0.092076,0.059483,0.0977806,0.064372,0.0741494,0.0578532,0.080669,0.068446,0.0708908,0.0920772,0.0937058,0.0700758,0.0733352,0.0765954,0.0839282,0.0676314,0.1034832,0.00951694,0.00751342,0.00926654,0.0055098,0.00576026,0.00726288,0.0065116,0.00450804,0.00701252,0.0097675,0.00626124,0.00651164,0.00801424,0.00626118,0.00550984,0.00751338,0.00851526,0.00676206,0.00676198,0.00576022,0.00375672,0.002254,0.00350624,0.00450804,0.00350624,0.0097675,3.35578,3.42738,3.41124,3.44686,3.34466,3.20836,2.47034,2.07668,2.03642,1.9845,2.02474,2.10892,1.99674,2.09188,2.15028,2.18386,2.0483,2.25912,2.32998,2.62222,2.45606,2.56658,2.56678,2.62572,2.2636,3.44686,0.000833156,0.000749832,0.000777602,0.000722064,0.000777608,0.000888696,0.000944256,0.000194404,0.000527662,0.000805378,0.000249948,0.00063875,0.000583206,0.000388804,0.000722058,0.000555432,0.000833146,0.000610986,0.000583204,0.000555436,0.00013886,0.000166632,0.000222176,0.000111088,0.00030549,0.000944256,0.0699578,0.0725994,0.0684864,0.0690144,0.0664866,0.0637696,0.0484876,0.0406388,0.037658,0.0369788,0.040186,0.0405634,0.0376202,0.0425254,0.043016,0.0438842,0.0407898,0.0449782,0.0484122,0.0516196,0.0481102,0.0513934,0.0526762,0.0501478,0.041582,0.0725994,133,2/20/2014 3:12,-48,-39,643,89,993,6852.425549,45,-48.8,762,639,360,1,0,642.5,6.75E-30,-1.72252156,75,1,0,800,0.005311613
32,2/20/2014 7:54,2/20/2014 8:24,0.0570532,41.1876,39.7644,41.1876,39.5568,37.303,34.4564,34.1304,32.3514,33.9526,32.8554,34.2488,32.9738,36.2654,35.0496,32.796,33.3594,33.6262,35.761,38.3114,36.1764,39.0232,37.9556,37.7478,34.9902,35.9986,41.1876,0.1034832,0.0920746,0.0928898,0.0725194,0.0953368,0.0798538,0.080668,0.0611128,0.092076,0.059483,0.0977806,0.064372,0.0741494,0.0578532,0.080669,0.068446,0.0708908,0.0920772,0.0937058,0.0700758,0.0733352,0.0765954,0.0839282,0.0676314,0.0765948,0.1034832,0.00751342,0.00926654,0.0055098,0.00576026,0.00726288,0.0065116,0.00450804,0.00701252,0.0097675,0.00626124,0.00651164,0.00801424,0.00626118,0.00550984,0.00751338,0.00851526,0.00676206,0.00676198,0.00576022,0.00375672,0.002254,0.00350624,0.00450804,0.00350624,0.00550984,0.0097675,3.42738,3.41124,3.44686,3.34466,3.20836,2.47034,2.07668,2.03642,1.9845,2.02474,2.10892,1.99674,2.09188,2.15028,2.18386,2.0483,2.25912,2.32998,2.62222,2.45606,2.56658,2.56678,2.62572,2.2636,2.28694,3.44686,0.000749832,0.000777602,0.000722064,0.000777608,0.000888696,0.000944256,0.000194404,0.000527662,0.000805378,0.000249948,0.00063875,0.000583206,0.000388804,0.000722058,0.000555432,0.000833146,0.000610986,0.000583204,0.000555436,0.00013886,0.000166632,0.000222176,0.000111088,0.00030549,0.000444344,0.000944256,0.0725994,0.0684864,0.0690144,0.0664866,0.0637696,0.0484876,0.0406388,0.037658,0.0369788,0.040186,0.0405634,0.0376202,0.0425254,0.043016,0.0438842,0.0407898,0.0449782,0.0484122,0.0516196,0.0481102,0.0513934,0.0526762,0.0501478,0.041582,0.0459594,0.0725994,133,2/20/2014 3:12,-48,-39,643,89,993,6852.425549,45,-48.8,762,639,360,1,0,642.5,6.75E-30,-1.72252156,75,1,0,800,0.010550486
32,2/20/2014 7:59,2/20/2014 8:29,0.0584116,39.7644,41.1876,39.5568,37.303,34.4564,34.1304,32.3514,33.9526,32.8554,34.2488,32.9738,36.2654,35.0496,32.796,33.3594,33.6262,35.761,38.3114,36.1764,39.0232,37.9556,37.7478,34.9902,35.9986,192.149,192.149,0.0920746,0.0928898,0.0725194,0.0953368,0.0798538,0.080668,0.0611128,0.092076,0.059483,0.0977806,0.064372,0.0741494,0.0578532,0.080669,0.068446,0.0708908,0.0920772,0.0937058,0.0700758,0.0733352,0.0765954,0.0839282,0.0676314,0.0765948,1.010396,1.010396,0.00926654,0.0055098,0.00576026,0.00726288,0.0065116,0.00450804,0.00701252,0.0097675,0.00626124,0.00651164,0.00801424,0.00626118,0.00550984,0.00751338,0.00851526,0.00676206,0.00676198,0.00576022,0.00375672,0.002254,0.00350624,0.00450804,0.00350624,0.00550984,0.0210373,0.0210373,3.41124,3.44686,3.34466,3.20836,2.47034,2.07668,2.03642,1.9845,2.02474,2.10892,1.99674,2.09188,2.15028,2.18386,2.0483,2.25912,2.32998,2.62222,2.45606,2.56658,2.56678,2.62572,2.2636,2.28694,2.3906,3.44686,0.000777602,0.000722064,0.000777608,0.000888696,0.000944256,0.000194404,0.000527662,0.000805378,0.000249948,0.00063875,0.000583206,0.000388804,0.000722058,0.000555432,0.000833146,0.000610986,0.000583204,0.000555436,0.00013886,0.000166632,0.000222176,0.000111088,0.00030549,0.000444344,0.000361034,0.000944256,0.0684864,0.0690144,0.0664866,0.0637696,0.0484876,0.0406388,0.037658,0.0369788,0.040186,0.0405634,0.0376202,0.0425254,0.043016,0.0438842,0.0407898,0.0449782,0.0484122,0.0516196,0.0481102,0.0513934,0.0526762,0.0501478,0.041582,0.0459594,0.0453558,0.0690144,133,2/20/2014 3:12,-48,-39,643,89,993,6852.425549,45,-48.8,762,639,360,1,0,642.5,6.75E-30,-1.72252156,75,1,0,800,0.012411988
